,2017-2022 NAICS to SIC Crosswalk,,
3492,332912,Fluid Power Valves and Hose Fittings,"Fluid Power Valve and Hose FittingManufacturing"
3728,332912,"Aircraft Parts and Equipment, Nec","Fluid Power Valve and Hose FittingManufacturing"
3432,332913,Plumbing Fixture Fittings and Trim,"Plumbing Fixture Fitting and TrimManufacturing"
3429,332919,"Hardware, Nec","Other Metal Valve and Pipe FittingManufacturing"
3432,332919,Plumbing Fixture Fittings and Trim,"Other Metal Valve and Pipe FittingManufacturing"
3494,332919,"Valves and Pipe Fittings, Nec","Other Metal Valve and Pipe FittingManufacturing"
3499,332919,"Fabricated Metal Products, Nec","Other Metal Valve and Pipe FittingManufacturing"
3562,332991,Ball and Roller Bearings,Ball and Roller Bearing Manufacturing
3482,332992,Small Arms Ammunition,Small Arms Ammunition Manufacturing
3483,332993,"Ammunition, Except For Small Arms, Nec","Ammunition (except Small Arms)Manufacturing"
3484,332994,Small Arms,"Small Arms, Ordnance, and OrdnanceAccessories Manufacturing"
3489,332994,"Ordnance and Accessories, Nec","Small Arms, Ordnance, and OrdnanceAccessories Manufacturing"
3841,332994,Surgical and Medical Instruments,"Small Arms, Ordnance, and OrdnanceAccessories Manufacturing"
3498,332996,Fabricated Pipe and Fittings,"Fabricated Pipe and Pipe FittingManufacturing"
3291,332999,Abrasive Products,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3429,332999,"Hardware, Nec","All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3431,332999,Metal Sanitary Ware,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3432,332999,Plumbing Fixture Fittings and Trim,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3494,332999,"Valves and Pipe Fittings, Nec","All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3499,332999,"Fabricated Metal Products, Nec","All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3537,332999,Industrial Trucks and Tractors,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3543,332999,Industrial Patterns,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3599,332999,"Industrial Machinery, Nec","All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3914,332999,Silverware and Plated Ware,"All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3999,332999,"Manufacturing Industries, Nec","All Other Miscellaneous Fabricated MetalProduct Manufacturing"
3523,333111,Farm Machinery and Equipment,"Farm Machinery and EquipmentManufacturing"
3559,333111,"Special Industry Machinery, Nec","Farm Machinery and EquipmentManufacturing"
3524,333112,Lawn and Garden Equipment,"Lawn and Garden Tractor and Home Lawnand Garden Equipment Manufacturing"
3531,333120,Construction Machinery,Construction Machinery Manufacturing
3532,333131,Mining Machinery,"Mining Machinery and EquipmentManufacturing"
3533,333132,Oil and Gas Field Machinery,"Oil and Gas Field Machinery andEquipment Manufacturing"
3556,333241,Food Products Machinery,Food Product Machinery Manufacturing
3559,333242,"Special Industry Machinery, Nec",Semiconductor Machinery Manufacturing
3553,333243,Woodworking Machinery,"Sawmill, Woodworking, and PaperMachinery Manufacturing"
3554,333243,Paper Industries Machinery,"Sawmill, Woodworking, and PaperMachinery Manufacturing"
3555,333244,Printing Trades Machinery,"Printing Machinery and EquipmentManufacturing"
2599,333249,"Furniture and Fixtures, Nec",Other Industrial Machinery Manufacturing
3552,333249,Textile Machinery,Other Industrial Machinery Manufacturing
3559,333249,"Special Industry Machinery, Nec",Other Industrial Machinery Manufacturing
3559,333249,"Special Industry Machinery, Nec",Other Industrial Machinery Manufacturing
3639,333249,"Household Appliances, Nec",Other Industrial Machinery Manufacturing
3821,333249,Laboratory Apparatus and Furniture,Other Industrial Machinery Manufacturing
3841,333249,Surgical and Medical Instruments,Other Industrial Machinery Manufacturing
3827,333314,Optical Instruments and Lenses,Optical Instrument and Lens Manufacturing
3577,333316,"Computer Peripheral Equipment, Nec","Photographic and Photocopying EquipmentManufacturing"
3578,333316,Calculating and Accounting Equipment,"Photographic and Photocopying EquipmentManufacturing"
3861,333316,Photographic Equipment and Supplies,"Photographic and Photocopying EquipmentManufacturing"
3559,333318,"Special Industry Machinery, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3578,333318,Calculating and Accounting Equipment,"Other Commercial and Service IndustryMachinery Manufacturing"
3579,333318,"Office Machines, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3581,333318,Automatic Vending Machines,"Other Commercial and Service IndustryMachinery Manufacturing"
3582,333318,Commercial Laundry Equipment,"Other Commercial and Service IndustryMachinery Manufacturing"
3589,333318,"Service Industry Machinery, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3599,333318,"Industrial Machinery, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3699,333318,"Electrical Equipment and Supplies, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3999,333318,"Manufacturing Industries, Nec","Other Commercial and Service IndustryMachinery Manufacturing"
3564,333413,Blowers and Fans,"Industrial and Commercial Fan and Blowerand Air Purification EquipmentManufacturing"
3564,333413,Blowers and Fans,"Industrial and Commercial Fan and Blowerand Air Purification EquipmentManufacturing"
3433,333414,"Heating Equipment, Except Electric","Heating Equipment (except Warm AirFurnaces) Manufacturing"
3569,333414,"General Industrial Machinery,","Heating Equipment (except Warm AirFurnaces) Manufacturing"
3634,333414,Electric Housewares and Fans,"Heating Equipment (except Warm AirFurnaces) Manufacturing"
2499,333415,"Wood Products, Nec","Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
2599,333415,"Furniture and Fixtures, Nec","Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3443,333415,Fabricated Plate Work (boiler Shop),"Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3444,333415,Sheet Metalwork,"Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3585,333415,Refrigeration and Heating Equipment,"Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3821,333415,Laboratory Apparatus and Furniture,"Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3841,333415,Surgical and Medical Instruments,"Air-Conditioning and Warm Air HeatingEquipment and Commercial and IndustrialRefrigeration Equipment Manufacturing"
3544,333511,"Special Dies, Tools, Jigs, and Fixtures",Industrial Mold Manufacturing
3544,333514,"Special Dies, Tools, Jigs, and Fixtures","Special Die and Tool, Die Set, Jig, andFixture Manufacturing"
3541,333517,"Machine Tools, Metal Cutting Type",Machine Tool Manufacturing
3542,333517,"Machine Tools, Metal Forming Type",Machine Tool Manufacturing
3547,333519,Rolling Mill Machinery,"Rolling Mill and Other MetalworkingMachinery Manufacturing"
3549,333519,"Metalworking Machinery, Nec","Rolling Mill and Other MetalworkingMachinery Manufacturing"
3511,333611,Turbines and Turbine Generator Sets,"Turbine and Turbine Generator Set UnitsManufacturing"
3566,333612,"Speed Changers, Drives, and Gears","Speed Changer, Industrial High-SpeedDrive, and Gear Manufacturing"
3568,333613,"Power Transmission Equipment, Nec","Mechanical Power TransmissionEquipment Manufacturing"
3519,333618,"Internal Combustion Engines, Nec",Other Engine Equipment Manufacturing
3699,333618,"Electrical Equipment and Supplies, Nec",Other Engine Equipment Manufacturing
3563,333912,Air and Gas Compressors,Air and Gas Compressor Manufacturing
3561,333914,Pumps and Pumping Equipment,"Measuring, Dispensing, and Other PumpingEquipment Manufacturing"
3586,333914,Measuring and Dispensing Pumps,"Measuring, Dispensing, and Other PumpingEquipment Manufacturing"
3743,333914,Railroad Equipment,"Measuring, Dispensing, and Other PumpingEquipment Manufacturing"
3534,333921,Elevators and Moving Stairways,"Elevator and Moving StairwayManufacturing"
3523,333922,Farm Machinery and Equipment,"Conveyor and Conveying EquipmentManufacturing"
3535,333922,Conveyors and Conveying Equipment,"Conveyor and Conveying EquipmentManufacturing"
3429,333923,"Hardware, Nec","Overhead Traveling Crane, Hoist, andMonorail System Manufacturing"
3531,333923,Construction Machinery,"Overhead Traveling Crane, Hoist, andMonorail System Manufacturing"
3536,333923,"Hoists, Cranes, and Monorails","Overhead Traveling Crane, Hoist, andMonorail System Manufacturing"
3496,333924,Miscellaneous Fabricated Wire Products,"Industrial Truck, Tractor, Trailer, andStacker Machinery Manufacturing"
3537,333924,Industrial Trucks and Tractors,"Industrial Truck, Tractor, Trailer, andStacker Machinery Manufacturing"
3799,333924,"Transportation Equipment, Nec","Industrial Truck, Tractor, Trailer, andStacker Machinery Manufacturing"
3546,333991,Power-driven Handtools,Power-Driven Handtool Manufacturing
3548,333992,Welding Apparatus,"Welding and Soldering EquipmentManufacturing"
3699,333992,"Electrical Equipment and Supplies, Nec","Welding and Soldering EquipmentManufacturing"
3565,333993,Packaging Machinery,Packaging Machinery Manufacturing
2599,333994,"Furniture and Fixtures, Nec","Industrial Process Furnace and OvenManufacturing"
3567,333994,Industrial Furnaces and Ovens,"Industrial Process Furnace and OvenManufacturing"
3841,333994,Surgical and Medical Instruments,"Industrial Process Furnace and OvenManufacturing"
3593,333995,Fluid Power Cylinders and Actuators,"Fluid Power Cylinder and ActuatorManufacturing"
3594,333996,Fluid Power Pumps and Motors,"Fluid Power Pump and MotorManufacturing"
2599,333997,"Furniture and Fixtures, Nec",Scale and Balance Manufacturing
3596,333997,"Scales and Balances, Except Laboratory",Scale and Balance Manufacturing
3821,333997,Laboratory Apparatus and Furniture,Scale and Balance Manufacturing
3841,333997,Surgical and Medical Instruments,Scale and Balance Manufacturing
2599,333999,"Furniture and Fixtures, Nec","All Other Miscellaneous General PurposeMachinery Manufacturing"
3569,333999,"General Industrial Machinery,","All Other Miscellaneous General PurposeMachinery Manufacturing"
3599,333999,"Industrial Machinery, Nec","All Other Miscellaneous General PurposeMachinery Manufacturing"
3821,333999,Laboratory Apparatus and Furniture,"All Other Miscellaneous General PurposeMachinery Manufacturing"
3841,333999,Surgical and Medical Instruments,"All Other Miscellaneous General PurposeMachinery Manufacturing"
3571,334111,Electronic Computers,Electronic Computer Manufacturing
3572,334112,Computer Storage Devices,Computer Storage Device Manufacturing
3575,334118,Computer Terminals,"Computer Terminal and Other ComputerPeripheral Equipment Manufacturing"
3577,334118,"Computer Peripheral Equipment, Nec","Computer Terminal and Other ComputerPeripheral Equipment Manufacturing"
3578,334118,Calculating and Accounting Equipment,"Computer Terminal and Other ComputerPeripheral Equipment Manufacturing"
3661,334210,Telephone and Telegraph Apparatus,Telephone Apparatus Manufacturing
3663,334220,"Radio and T.v. CommunicationsEquipment","Radio and Television Broadcasting andWireless Communications EquipmentManufacturing"
3679,334220,"Electronic Components, Nec","Radio and Television Broadcasting andWireless Communications EquipmentManufacturing"
3669,334290,"Communications Equipment, Nec","Other Communications EquipmentManufacturing"
3651,334310,Household Audio and Video Equipment,Audio and Video Equipment Manufacturing
3679,334310,"Electronic Components, Nec",Audio and Video Equipment Manufacturing
3672,334412,Printed Circuit Boards,Bare Printed Circuit Board Manufacturing
3674,334413,Semiconductors and Related Devices,"Semiconductor and Related DeviceManufacturing"
3675,334416,Electronic Capacitors,"Capacitor, Resistor, Coil, Transformer, andOther Inductor Manufacturing"
3676,334416,Electronic Resistors,"Capacitor, Resistor, Coil, Transformer, andOther Inductor Manufacturing"
3677,334416,Electronic Coils and Transformers,"Capacitor, Resistor, Coil, Transformer, andOther Inductor Manufacturing"
3577,334418,"Computer Peripheral Equipment, Nec","Printed Circuit Assembly (ElectronicAssembly) Manufacturing"
3661,334418,Telephone and Telegraph Apparatus,"Printed Circuit Assembly (ElectronicAssembly) Manufacturing"
3679,334418,"Electronic Components, Nec","Printed Circuit Assembly (ElectronicAssembly) Manufacturing"
3671,334419,Electron Tubes,Other Electronic Component Manufacturing
3679,334419,"Electronic Components, Nec",Other Electronic Component Manufacturing
3842,334510,Surgical Appliances and Supplies,"Electromedical and ElectrotherapeuticApparatus Manufacturing"
3845,334510,Electromedical Equipment,"Electromedical and ElectrotherapeuticApparatus Manufacturing"
3812,334511,Search and Navigation Equipment,"Search, Detection, Navigation, Guidance,Aeronautical, and Nautical System andInstrument Manufacturing"
3822,334512,Environmental Controls,"Automatic Environmental ControlManufacturing for Residential, Commercial,and Appliance Use"
3823,334513,Process Control Instruments,"Instruments and Related ProductsManufacturing for Measuring, Displaying,and Controlling Industrial Process Variables"
3824,334514,Fluid Meters and Counting Devices,"Totalizing Fluid Meter and Counting DeviceManufacturing"
3825,334514,Instruments To Measure Electricity,"Totalizing Fluid Meter and Counting DeviceManufacturing"
3829,334514,"Measuring and Controlling Devices, Nec","Totalizing Fluid Meter and Counting DeviceManufacturing"
3663,334515,"Radio and T.v. CommunicationsEquipment","Instrument Manufacturing for Measuringand Testing Electricity and ElectricalSignals"
3679,334515,"Electronic Components, Nec","Instrument Manufacturing for Measuringand Testing Electricity and ElectricalSignals"
3825,334515,Instruments To Measure Electricity,"Instrument Manufacturing for Measuringand Testing Electricity and ElectricalSignals"
3826,334516,Analytical Instruments,"Analytical Laboratory InstrumentManufacturing"
3844,334517,X-ray Apparatus and Tubes,Irradiation Apparatus Manufacturing
3845,334517,Electromedical Equipment,Irradiation Apparatus Manufacturing
3429,334519,"Hardware, Nec","Other Measuring and Controlling DeviceManufacturing"
3495,334519,Wire Springs,"Other Measuring and Controlling DeviceManufacturing"
3579,334519,"Office Machines, Nec","Other Measuring and Controlling DeviceManufacturing"
3829,334519,"Measuring and Controlling Devices, Nec","Other Measuring and Controlling DeviceManufacturing"
3829,334519,"Measuring and Controlling Devices, Nec","Other Measuring and Controlling DeviceManufacturing"
3873,334519,"Watches, Clocks, Watchcases, and Parts","Other Measuring and Controlling DeviceManufacturing"
3915,334519,Jewelers' Materials and Lapidary Work,"Other Measuring and Controlling DeviceManufacturing"
3577,334613,"Computer Peripheral Equipment, Nec","Blank Magnetic and Optical RecordingMedia Manufacturing"
3695,334613,Magnetic and Optical Recording Media,"Blank Magnetic and Optical RecordingMedia Manufacturing"
3652,334614,Prerecorded Records and Tapes,"Software and Other Prerecorded CompactDisc, Tape, and Record Reproducing"
7372,334614,Prepackaged Software,"Software and Other Prerecorded CompactDisc, Tape, and Record Reproducing"
7819,334614,Services Allied To Motion Pictures,"Software and Other Prerecorded CompactDisc, Tape, and Record Reproducing"
3641,335110,Electric Lamps,Electric Lamp Bulb and Part Manufacturing
3645,335121,Residential Lighting Fixtures,"Residential Electric Lighting FixtureManufacturing"
3999,335121,"Manufacturing Industries, Nec","Residential Electric Lighting FixtureManufacturing"
3646,335122,Commercial Lighting Fixtures,"Commercial, Industrial, and InstitutionalElectric Lighting Fixture Manufacturing"
3648,335129,"Lighting Equipment, Nec",Other Lighting Equipment Manufacturing
3699,335129,"Electrical Equipment and Supplies, Nec",Other Lighting Equipment Manufacturing
3634,335210,Electric Housewares and Fans,Small Electrical Appliance Manufacturing
3635,335210,Household Vacuum Cleaners,Small Electrical Appliance Manufacturing
3639,335210,"Household Appliances, Nec",Small Electrical Appliance Manufacturing
3999,335210,"Manufacturing Industries, Nec",Small Electrical Appliance Manufacturing
3631,335220,Household Cooking Equipment,Major Household Appliance Manufacturing
3632,335220,Household Refrigerators and Freezers,Major Household Appliance Manufacturing
3633,335220,Household Laundry Equipment,Major Household Appliance Manufacturing
3639,335220,"Household Appliances, Nec",Major Household Appliance Manufacturing
3548,335311,Welding Apparatus,"Power, Distribution, and SpecialtyTransformer Manufacturing"
3612,335311,"Power, Distribution and SpecialtyTransformers","Power, Distribution, and SpecialtyTransformer Manufacturing"
3621,335312,Motors and Generators,Motor and Generator Manufacturing
7694,335312,Armature Rewinding Shops,Motor and Generator Manufacturing
3613,335313,Switchgear and Switchboard Apparatus,"Switchgear and Switchboard ApparatusManufacturing"
3625,335314,Relays and Industrial Controls,Relay and Industrial Control Manufacturing
3691,335911,Storage Batteries,Storage Battery Manufacturing
3692,335912,"Primary Batteries, Dry and Wet",Primary Battery Manufacturing
3357,335921,Nonferrous Wiredrawing and Insulating,Fiber Optic Cable Manufacturing
3357,335929,Nonferrous Wiredrawing and Insulating,"Other Communication and Energy WireManufacturing"
3644,335932,Noncurrent-carrying Wiring Devices,"Noncurrent-Carrying Wiring DeviceManufacturing"
3624,335991,Carbon and Graphite Products,"Carbon and Graphite ProductManufacturing"
3629,335999,Electrical Industrial Apparatus,"All Other Miscellaneous ElectricalEquipment and Component Manufacturing"
3699,335999,"Electrical Equipment and Supplies, Nec","All Other Miscellaneous ElectricalEquipment and Component Manufacturing"
3711,336111,Motor Vehicles and Car Bodies,Automobile Manufacturing
3711,336112,Motor Vehicles and Car Bodies,"Light Truck and Utility VehicleManufacturing"
3711,336120,Motor Vehicles and Car Bodies,Heavy Duty Truck Manufacturing
3711,336211,Motor Vehicles and Car Bodies,Motor Vehicle Body Manufacturing
3713,336211,Truck and Bus Bodies,Motor Vehicle Body Manufacturing
3714,336211,Motor Vehicle Parts and Accessories,Motor Vehicle Body Manufacturing
3715,336212,Truck Trailers,Truck Trailer Manufacturing
3716,336213,Motor Homes,Motor Home Manufacturing
3792,336214,Travel Trailers and Campers,Travel Trailer and Camper Manufacturing
3799,336214,"Transportation Equipment, Nec",Travel Trailer and Camper Manufacturing
3592,336310,"Carburetors, Pistons, Rings, Valves","Motor Vehicle Gasoline Engine and EngineParts Manufacturing"
3714,336310,Motor Vehicle Parts and Accessories,"Motor Vehicle Gasoline Engine and EngineParts Manufacturing"
3647,336320,Vehicular Lighting Equipment,"Motor Vehicle Electrical and ElectronicEquipment Manufacturing"
3694,336320,Engine Electrical Equipment,"Motor Vehicle Electrical and ElectronicEquipment Manufacturing"
3714,336320,Motor Vehicle Parts and Accessories,"Motor Vehicle Electrical and ElectronicEquipment Manufacturing"
3714,336330,Motor Vehicle Parts and Accessories,"Motor Vehicle Steering and SuspensionComponents (except Spring) Manufacturing"
3292,336340,Asbestos Products,Motor Vehicle Brake System Manufacturing
3714,336340,Motor Vehicle Parts and Accessories,Motor Vehicle Brake System Manufacturing
3292,336350,Asbestos Products,"Motor Vehicle Transmission and PowerTrain Parts Manufacturing"
3714,336350,Motor Vehicle Parts and Accessories,"Motor Vehicle Transmission and PowerTrain Parts Manufacturing"
2396,336360,Automotive and Apparel Trimmings,"Motor Vehicle Seating and Interior TrimManufacturing"
2399,336360,"Fabricated Textile Products, Nec","Motor Vehicle Seating and Interior TrimManufacturing"
2531,336360,Public Building and Related Furniture,"Motor Vehicle Seating and Interior TrimManufacturing"
3499,336360,"Fabricated Metal Products, Nec","Motor Vehicle Seating and Interior TrimManufacturing"
3465,336370,Automotive Stampings,Motor Vehicle Metal Stamping
3429,336390,"Hardware, Nec",Other Motor Vehicle Parts Manufacturing
3519,336390,"Internal Combustion Engines, Nec",Other Motor Vehicle Parts Manufacturing
3599,336390,"Industrial Machinery, Nec",Other Motor Vehicle Parts Manufacturing
3714,336390,Motor Vehicle Parts and Accessories,Other Motor Vehicle Parts Manufacturing
3799,336390,"Transportation Equipment, Nec",Other Motor Vehicle Parts Manufacturing
3721,336411,Aircraft,Aircraft Manufacturing
3728,336411,"Aircraft Parts and Equipment, Nec",Aircraft Manufacturing
3724,336412,Aircraft Engines and Engine Parts,"Aircraft Engine and Engine PartsManufacturing"
3728,336413,"Aircraft Parts and Equipment, Nec","Other Aircraft Parts and AuxiliaryEquipment Manufacturing"
3761,336414,Guided Missiles and Space Vehicles,"Guided Missile and Space VehicleManufacturing"
3764,336415,Space Propulsion Units and Parts,"Guided Missile and Space VehiclePropulsion Unit and Propulsion Unit PartsManufacturing"
3769,336419,"Space Vehicle Equipment, Nec","Other Guided Missile and Space VehicleParts and Auxiliary EquipmentManufacturing"
3531,336510,Construction Machinery,Railroad Rolling Stock Manufacturing
3743,336510,Railroad Equipment,Railroad Rolling Stock Manufacturing
3731,336611,Shipbuilding and Repairing,Ship Building and Repairing
3069,336612,"Fabricated Rubber Products, Nec",Boat Building
3089,336612,"Plastics Products, Nec",Boat Building
3732,336612,Boatbuilding and Repairing,Boat Building
3999,336612,"Manufacturing Industries, Nec",Boat Building
3751,336991,"Motorcycles, Bicycles, and Parts","Motorcycle, Bicycle, and PartsManufacturing"
3944,336991,"Games, Toys, and Children's Vehicles","Motorcycle, Bicycle, and PartsManufacturing"
3711,336992,Motor Vehicles and Car Bodies,"Military Armored Vehicle, Tank, and TankComponent Manufacturing"
3795,336992,Tanks and Tank Components,"Military Armored Vehicle, Tank, and TankComponent Manufacturing"
3799,336999,"Transportation Equipment, Nec","All Other Transportation EquipmentManufacturing"
2434,337110,Wood Kitchen Cabinets,"Wood Kitchen Cabinet and CountertopManufacturing"
2541,337110,Wood Partitions and Fixtures,"Wood Kitchen Cabinet and CountertopManufacturing"
5712,337110,Furniture Stores,"Wood Kitchen Cabinet and CountertopManufacturing"
2512,337121,Upholstered Household Furniture,"Upholstered Household FurnitureManufacturing"
2514,337121,Metal Household Furniture,"Upholstered Household FurnitureManufacturing"
2515,337121,Mattresses and Bedsprings,"Upholstered Household FurnitureManufacturing"
5712,337121,Furniture Stores,"Upholstered Household FurnitureManufacturing"
2511,337122,Wood Household Furniture,"Nonupholstered Wood Household FurnitureManufacturing"
2514,337124,Metal Household Furniture,Metal Household Furniture Manufacturing
2499,337125,"Wood Products, Nec","Household Furniture (except Wood andMetal) Manufacturing"
2519,337125,"Household Furniture, Nec","Household Furniture (except Wood andMetal) Manufacturing"
2531,337127,Public Building and Related Furniture,Institutional Furniture Manufacturing
2541,337127,Wood Partitions and Fixtures,Institutional Furniture Manufacturing
2542,337127,"Partitions and Fixtures, Except Wood",Institutional Furniture Manufacturing
2599,337127,"Furniture and Fixtures, Nec",Institutional Furniture Manufacturing
2599,337127,"Furniture and Fixtures, Nec",Institutional Furniture Manufacturing
3821,337127,Laboratory Apparatus and Furniture,Institutional Furniture Manufacturing
3841,337127,Surgical and Medical Instruments,Institutional Furniture Manufacturing
3952,337127,Lead Pencils and Art Goods,Institutional Furniture Manufacturing
3999,337127,"Manufacturing Industries, Nec",Institutional Furniture Manufacturing
2521,337211,Wood Office Furniture,Wood Office Furniture Manufacturing
2541,337212,Wood Partitions and Fixtures,"Custom Architectural Woodwork andMillwork Manufacturing"
2522,337214,"Office Furniture, Except Wood","Office Furniture (except Wood)Manufacturing"
2426,337215,Hardwood Dimension and Flooring Mills,"Showcase, Partition, Shelving, and LockerManufacturing"
2511,337215,Wood Household Furniture,"Showcase, Partition, Shelving, and LockerManufacturing"
2514,337215,Metal Household Furniture,"Showcase, Partition, Shelving, and LockerManufacturing"
2541,337215,Wood Partitions and Fixtures,"Showcase, Partition, Shelving, and LockerManufacturing"
2542,337215,"Partitions and Fixtures, Except Wood","Showcase, Partition, Shelving, and LockerManufacturing"
3089,337215,"Plastics Products, Nec","Showcase, Partition, Shelving, and LockerManufacturing"
3429,337215,"Hardware, Nec","Showcase, Partition, Shelving, and LockerManufacturing"
3499,337215,"Fabricated Metal Products, Nec","Showcase, Partition, Shelving, and LockerManufacturing"
2515,337910,Mattresses and Bedsprings,Mattress Manufacturing
2591,337920,Drapery Hardware and Blinds and Shades,Blind and Shade Manufacturing
3829,339112,"Measuring and Controlling Devices, Nec","Surgical and Medical InstrumentManufacturing"
3841,339112,Surgical and Medical Instruments,"Surgical and Medical InstrumentManufacturing"
2499,339113,"Wood Products, Nec","Surgical Appliance and SuppliesManufacturing"
2599,339113,"Furniture and Fixtures, Nec","Surgical Appliance and SuppliesManufacturing"
3069,339113,"Fabricated Rubber Products, Nec","Surgical Appliance and SuppliesManufacturing"
3089,339113,"Plastics Products, Nec","Surgical Appliance and SuppliesManufacturing"
3841,339113,Surgical and Medical Instruments,"Surgical Appliance and SuppliesManufacturing"
3842,339113,Surgical Appliances and Supplies,"Surgical Appliance and SuppliesManufacturing"
3851,339113,Ophthalmic Goods,"Surgical Appliance and SuppliesManufacturing"
5999,339113,"Miscellaneous Retail Stores, Nec","Surgical Appliance and SuppliesManufacturing"
3843,339114,Dental Equipment and Supplies,"Dental Equipment and SuppliesManufacturing"
3851,339115,Ophthalmic Goods,Ophthalmic Goods Manufacturing
5995,339115,Optical Goods Stores,Ophthalmic Goods Manufacturing
8072,339116,Dental Laboratories,Dental Laboratories
3172,339910,"Personal Leather Goods, Nec",Jewelry and Silverware Manufacturing
3479,339910,Metal Coating and Allied Services,Jewelry and Silverware Manufacturing
3479,339910,Metal Coating and Allied Services,Jewelry and Silverware Manufacturing
3479,339910,Metal Coating and Allied Services,Jewelry and Silverware Manufacturing
3911,339910,"Jewelry, Precious Metal",Jewelry and Silverware Manufacturing
3914,339910,Silverware and Plated Ware,Jewelry and Silverware Manufacturing
3915,339910,Jewelers' Materials and Lapidary Work,Jewelry and Silverware Manufacturing
3961,339910,Costume Jewelry,Jewelry and Silverware Manufacturing
3069,339920,"Fabricated Rubber Products, Nec",Sporting and Athletic Goods Manufacturing
3949,339920,"Sporting and athletic Goods, Nec",Sporting and Athletic Goods Manufacturing
3069,339930,"Fabricated Rubber Products, Nec","Doll, Toy, and Game Manufacturing"
3942,339930,Dolls and Stuffed Toys,"Doll, Toy, and Game Manufacturing"
3944,339930,"Games, Toys, and Children's Vehicles","Doll, Toy, and Game Manufacturing"
3999,339930,"Manufacturing Industries, Nec","Doll, Toy, and Game Manufacturing"
2531,339940,Public Building and Related Furniture,"Office Supplies (except Paper)Manufacturing"
3579,339940,"Office Machines, Nec","Office Supplies (except Paper)Manufacturing"
3951,339940,Pens and Mechanical Pencils,"Office Supplies (except Paper)Manufacturing"
3952,339940,Lead Pencils and Art Goods,"Office Supplies (except Paper)Manufacturing"
3953,339940,Marking Devices,"Office Supplies (except Paper)Manufacturing"
3955,339940,Carbon Paper and Inked Ribbons,"Office Supplies (except Paper)Manufacturing"
3993,339950,Signs and Advertising Specialties,Sign Manufacturing
3053,339991,Gaskets; Packing and Sealing Devices,"Gasket, Packing, and Sealing DeviceManufacturing"
3931,339992,Musical Instruments,Musical Instrument Manufacturing
3131,339993,Footwear Cut Stock,"Fastener, Button, Needle, and PinManufacturing"
3961,339993,Costume Jewelry,"Fastener, Button, Needle, and PinManufacturing"
3965,339993,"Fasteners, Buttons, Needles, and Pins","Fastener, Button, Needle, and PinManufacturing"
2392,339994,"Household Furnishings, Nec","Broom, Brush, and Mop Manufacturing"
3991,339994,Brooms and Brushes,"Broom, Brush, and Mop Manufacturing"
2499,339999,"Wood Products, Nec",All Other Miscellaneous Manufacturing
3634,339999,Electric Housewares and Fans,All Other Miscellaneous Manufacturing
3842,339999,Surgical Appliances and Supplies,All Other Miscellaneous Manufacturing
3999,339999,"Manufacturing Industries, Nec",All Other Miscellaneous Manufacturing
5012,423110,Automobiles and Other Motor Vehicles,"Automobile and Other Motor VehicleMerchant Wholesalers"
5013,423120,Motor Vehicle Supplies and New Parts,"Motor Vehicle Supplies and New PartsMerchant Wholesalers"
5014,423130,Tires and Tubes,Tire and Tube Merchant Wholesalers
5015,423140,"Motor Vehicle Parts, Used","Motor Vehicle Parts (Used) MerchantWholesalers"
5021,423210,Furniture,Furniture Merchant Wholesalers
5023,423220,Homefurnishings,Home Furnishing Merchant Wholesalers
5031,423310,"Lumber, Plywood, and Millwork","Lumber, Plywood, Millwork, and WoodPanel Merchant Wholesalers"
5039,423310,"Construction Materials, Nec","Lumber, Plywood, Millwork, and WoodPanel Merchant Wholesalers"
5032,423320,"Brick, Stone, and Related Material","Brick, Stone, and Related ConstructionMaterial Merchant Wholesalers"
5033,423330,"Roofing, Siding, and Insulation","Roofing, Siding, and Insulation MaterialMerchant Wholesalers"
5039,423390,"Construction Materials, Nec","Other Construction Material MerchantWholesalers"
5043,423410,Photographic Equipment and Supplies,"Photographic Equipment and SuppliesMerchant Wholesalers"
